fight,fighter,opponent,fighter_url,result,kd,sig. str.,sig. str. att,sig. str. %,total str.,total str. att,td,td att,td %,sub. att,rev.,ctrl,head,head att,body,body att,leg,leg att,distance,distance att,clinch,clinch att,ground,ground att
UFC Fight Night: Namajunas vs. Cortez: Viviane Araujo v Jasmine Jasudavicius,Viviane Araujo,Jasmine Jasudavicius,http://ufcstats.com/fighter-details/36541f1e6c5d4955,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Viviane Araujo v Jasmine Jasudavicius,Jasmine Jasudavicius,Viviane Araujo,http://ufcstats.com/fighter-details/a9e260472d321361,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Santiago Ponzinibbio v Muslim Salikhov,Santiago Ponzinibbio,Muslim Salikhov,http://ufcstats.com/fighter-details/6d1bffff14897645,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Santiago Ponzinibbio v Muslim Salikhov,Muslim Salikhov,Santiago Ponzinibbio,http://ufcstats.com/fighter-details/447f9858ae78f921,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Josh Fremd v Andre Petroski,Josh Fremd,Andre Petroski,http://ufcstats.com/fighter-details/ca43de99b07b6b40,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Josh Fremd v Andre Petroski,Andre Petroski,Josh Fremd,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Luana Santos v Mariya Agapova,Luana Santos,Mariya Agapova,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Luana Santos v Mariya Agapova,Mariya Agapova,Luana Santos,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Rose Namajunas v Tracy Cortez,Rose Namajunas,Tracy Cortez,http://ufcstats.com/fighter-details/47b63240018d5d86,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Rose Namajunas v Tracy Cortez,Tracy Cortez,Rose Namajunas,http://ufcstats.com/fighter-details/68d4a891e5cf2029,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Julian Erosa v Christian Rodriguez,Julian Erosa,Christian Rodriguez,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Julian Erosa v Christian Rodriguez,Christian Rodriguez,Julian Erosa,http://ufcstats.com/fighter-details/5ec591b78349ba7e,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Drew Dober v Mike Davis,Drew Dober,Mike Davis,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Drew Dober v Mike Davis,Mike Davis,Drew Dober,http://ufcstats.com/fighter-details/fb3e61720be4690c,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Abdul Razak Alhassan v Cody Brundage,Abdul Razak Alhassan,Cody Brundage,http://ufcstats.com/fighter-details/eae431e70064e046,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Abdul Razak Alhassan v Cody Brundage,Cody Brundage,Abdul Razak Alhassan,http://ufcstats.com/fighter-details/f14f644d41ade29f,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Gabriel Bonfim v Ange Loosa,Gabriel Bonfim,Ange Loosa,http://ufcstats.com/fighter-details/01641ba5df0c69b0,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez: Gabriel Bonfim v Ange Loosa,Ange Loosa,Gabriel Bonfim,http://ufcstats.com/fighter-details/1497e735d9f2560a,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 303: Pereira vs. Prochazka 2: Andrei Arlovski v Martin Buday,Andrei Arlovski,Martin Buday,http://ufcstats.com/fighter-details/3738e68d2261e60f,loss,0,74,119,0.62,98,147,0,1,0.0,0,0,4.966666666666667,34,69,26,33,14,17,54,97,20,22,0,0
UFC 303: Pereira vs. Prochazka 2: Andrei Arlovski v Martin Buday,Martin Buday,Andrei Arlovski,http://ufcstats.com/fighter-details/8eb046f83e82bf26,win,0,54,84,0.64,165,199,0,0,,0,0,2.6666666666666665,24,51,25,27,5,6,23,48,31,36,0,0
UFC 303: Pereira vs. Prochazka 2: Ricky Simon v Vinicius Oliveira,Ricky Simon,Vinicius Oliveira,http://ufcstats.com/fighter-details/5987b2458f4b5290,loss,0,42,96,0.43,44,98,2,11,0.18,0,0,0.5166666666666667,26,76,12,16,4,4,40,93,2,3,0,0
UFC 303: Pereira vs. Prochazka 2: Ricky Simon v Vinicius Oliveira,Vinicius Oliveira,Ricky Simon,http://ufcstats.com/fighter-details/18d01f7f8338ae72,win,0,96,237,0.4,96,237,1,1,1.0,0,0,0.26666666666666666,53,184,20,24,23,29,94,234,1,2,1,1
UFC 303: Pereira vs. Prochazka 2: Dan Ige v Diego Lopes,Dan Ige,Diego Lopes,http://ufcstats.com/fighter-details/82a5152216251682,loss,0,42,77,0.54,67,103,0,1,0.0,0,0,1.65,34,67,4,5,4,5,24,53,3,4,15,20
UFC 303: Pereira vs. Prochazka 2: Dan Ige v Diego Lopes,Diego Lopes,Dan Ige,http://ufcstats.com/fighter-details/f166e93d04a8c274,win,0,49,100,0.49,90,143,1,3,0.33,1,0,4.1,32,74,8,14,9,12,38,85,10,14,1,1
UFC 303: Pereira vs. Prochazka 2: Alex Pereira v Jiri Prochazka,Alex Pereira,Jiri Prochazka,http://ufcstats.com/fighter-details/e5549c82bfb5582d,win,2,38,50,0.76,49,61,0,0,,0,0,0.05,21,32,8,9,9,9,21,31,7,7,10,12
UFC 303: Pereira vs. Prochazka 2: Alex Pereira v Jiri Prochazka,Jiri Prochazka,Alex Pereira,http://ufcstats.com/fighter-details/009341ed974bad72,loss,0,7,25,0.28,7,25,0,0,,0,0,1.1833333333333333,4,20,2,4,1,1,6,24,1,1,0,0
UFC 303: Pereira vs. Prochazka 2: Joe Pyfer v Marc-Andre Barriault,Joe Pyfer,Marc-Andre Barriault,http://ufcstats.com/fighter-details/c1085e1701b13eca,win,1,8,10,0.8,8,10,0,0,,0,0,0.0,4,5,1,2,3,3,7,9,0,0,1,1
UFC 303: Pereira vs. Prochazka 2: Joe Pyfer v Marc-Andre Barriault,Marc-Andre Barriault,Joe Pyfer,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,loss,0,0,5,0.0,0,5,0,0,,0,0,0.0,0,3,0,1,0,1,0,5,0,0,0,0
UFC 303: Pereira vs. Prochazka 2: Michelle Waterson-Gomez v Gillian Robertson,Michelle Waterson-Gomez,Gillian Robertson,http://ufcstats.com/fighter-details/eb04b9d31e938edb,loss,0,21,52,0.4,41,75,1,1,1.0,0,0,0.31666666666666665,19,48,1,3,1,1,9,37,3,4,9,11
UFC 303: Pereira vs. Prochazka 2: Michelle Waterson-Gomez v Gillian Robertson,Gillian Robertson,Michelle Waterson-Gomez,http://ufcstats.com/fighter-details/38c7f72747f4f712,win,0,77,105,0.73,122,156,2,6,0.33,2,0,12.566666666666666,67,94,9,9,1,2,10,24,0,0,67,81
UFC 303: Pereira vs. Prochazka 2: Rei Tsuruya v Carlos Hernandez,Rei Tsuruya,Carlos Hernandez,http://ufcstats.com/fighter-details/2f43a3e82661fa99,win,0,17,32,0.53,62,83,3,8,0.37,0,0,6.316666666666666,15,30,2,2,0,0,2,12,2,3,13,17
UFC 303: Pereira vs. Prochazka 2: Rei Tsuruya v Carlos Hernandez,Carlos Hernandez,Rei Tsuruya,http://ufcstats.com/fighter-details/798e48f9e7f6ba22,loss,0,16,32,0.5,26,45,1,2,0.5,0,0,4.483333333333333,7,23,5,5,4,4,8,23,4,5,4,4
UFC 303: Pereira vs. Prochazka 2: Anthony Smith v Roman Dolidze,Anthony Smith,Roman Dolidze,http://ufcstats.com/fighter-details/d4c9dcd330403612,loss,0,51,93,0.54,51,93,0,0,,0,0,0.0,27,67,4,4,20,22,51,93,0,0,0,0
UFC 303: Pereira vs. Prochazka 2: Anthony Smith v Roman Dolidze,Roman Dolidze,Anthony Smith,http://ufcstats.com/fighter-details/327d5f279895110d,win,0,100,185,0.54,103,188,1,3,0.33,0,0,3.55,61,135,12,16,27,34,65,132,3,4,32,49
UFC 303: Pereira vs. Prochazka 2: Ian Machado Garry v Michael Page,Ian Machado Garry,Michael Page,http://ufcstats.com/fighter-details/442c9011034ae1fd,win,0,19,39,0.48,65,101,2,5,0.4,2,0,7.483333333333333,12,26,3,7,4,6,9,25,5,7,5,7
UFC 303: Pereira vs. Prochazka 2: Ian Machado Garry v Michael Page,Michael Page,Ian Machado Garry,http://ufcstats.com/fighter-details/a67d071163962af8,loss,0,21,38,0.55,52,74,0,0,,0,0,1.8666666666666667,15,28,4,5,2,5,19,34,0,1,2,3
UFC 303: Pereira vs. Prochazka 2: Charles Jourdain v Jean Silva,Charles Jourdain,Jean Silva,http://ufcstats.com/fighter-details/f1d64ae34e088832,loss,0,23,46,0.5,24,48,3,7,0.42,0,0,1.2833333333333332,6,26,11,14,6,6,17,39,5,5,1,2
UFC 303: Pereira vs. Prochazka 2: Charles Jourdain v Jean Silva,Jean Silva,Charles Jourdain,http://ufcstats.com/fighter-details/52ef95b5860fb28c,win,2,34,55,0.61,35,56,0,0,,0,0,0.15,26,47,7,7,1,1,14,31,16,19,4,5
UFC 303: Pereira vs. Prochazka 2: Mayra Bueno Silva v Macy Chiasson,Mayra Bueno Silva,Macy Chiasson,http://ufcstats.com/fighter-details/cc8c623cca88f54f,loss,0,46,59,0.77,53,66,0,4,0.0,0,0,1.3166666666666667,24,34,20,22,2,3,21,32,23,25,2,2
UFC 303: Pereira vs. Prochazka 2: Mayra Bueno Silva v Macy Chiasson,Macy Chiasson,Mayra Bueno Silva,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,win,0,50,85,0.58,64,99,1,1,1.0,0,0,1.8,27,59,13,16,10,10,22,52,18,23,10,10
UFC 303: Pereira vs. Prochazka 2: Cub Swanson v Andre Fili,Cub Swanson,Andre Fili,http://ufcstats.com/fighter-details/d247691a6c0e9034,loss,0,62,111,0.55,90,140,0,2,0.0,0,0,0.48333333333333334,43,86,7,11,12,14,53,101,9,10,0,0
UFC 303: Pereira vs. Prochazka 2: Cub Swanson v Andre Fili,Andre Fili,Cub Swanson,http://ufcstats.com/fighter-details/8fd808923cffff82,win,0,67,147,0.45,70,151,2,11,0.18,0,0,3.8333333333333335,49,118,13,22,5,7,52,126,15,21,0,0
UFC 303: Pereira vs. Prochazka 2: Payton Talbott v Yanis Ghemmouri,Payton Talbott,Yanis Ghemmouri,http://ufcstats.com/fighter-details/6e743a33d56bdaa4,win,1,13,13,1.0,13,13,0,0,,0,0,0.016666666666666666,12,12,0,0,1,1,4,4,0,0,9,9
UFC 303: Pereira vs. Prochazka 2: Payton Talbott v Yanis Ghemmouri,Yanis Ghemmouri,Payton Talbott,http://ufcstats.com/fighter-details/eb70e786bbdf1d16,loss,0,1,2,0.5,1,2,0,0,,0,0,0.0,0,1,0,0,1,1,1,2,0,0,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Robert Whittaker v Ikram Aliskerov,Robert Whittaker,Ikram Aliskerov,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,win,1,14,21,0.66,14,21,0,0,,0,0,0.05,12,19,0,0,2,2,12,18,0,0,2,3
UFC Fight Night: Whittaker vs. Aliskerov: Robert Whittaker v Ikram Aliskerov,Ikram Aliskerov,Robert Whittaker,http://ufcstats.com/fighter-details/b07aed698fba8624,loss,0,5,15,0.33,5,15,0,0,,0,0,0.0,3,10,1,4,1,1,5,15,0,0,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Nasrat Haqparast v Jared Gordon,Nasrat Haqparast,Jared Gordon,http://ufcstats.com/fighter-details/b7b84ccd221be298,win,0,146,316,0.46,156,330,0,0,,0,0,0.05,122,288,23,27,1,1,133,298,8,10,5,8
UFC Fight Night: Whittaker vs. Aliskerov: Nasrat Haqparast v Jared Gordon,Jared Gordon,Nasrat Haqparast,http://ufcstats.com/fighter-details/7026eca45f65377b,loss,0,141,299,0.47,170,338,0,13,0.0,0,0,2.8166666666666664,125,275,12,19,4,5,128,274,13,25,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Magomed Gadzhiyasulov v Brendson Ribeiro,Magomed Gadzhiyasulov,Brendson Ribeiro,http://ufcstats.com/fighter-details/6e344b71421103da,win,0,26,39,0.66,93,135,5,5,1.0,0,0,9.983333333333333,15,25,4,4,7,10,12,23,4,4,10,12
UFC Fight Night: Whittaker vs. Aliskerov: Magomed Gadzhiyasulov v Brendson Ribeiro,Brendson Ribeiro,Magomed Gadzhiyasulov,http://ufcstats.com/fighter-details/49edd0d90f60fb7d,loss,0,17,35,0.48,29,51,3,6,0.5,1,1,1.9333333333333333,6,19,4,4,7,12,13,29,3,5,1,1
UFC Fight Night: Whittaker vs. Aliskerov: Kelvin Gastelum v Daniel Rodriguez,Kelvin Gastelum,Daniel Rodriguez,http://ufcstats.com/fighter-details/8c0580d4fff106c1,win,0,112,238,0.47,123,250,4,4,1.0,0,0,2.783333333333333,77,193,14,20,21,25,105,226,0,0,7,12
UFC Fight Night: Whittaker vs. Aliskerov: Kelvin Gastelum v Daniel Rodriguez,Daniel Rodriguez,Kelvin Gastelum,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6,loss,0,127,265,0.47,132,273,0,0,,0,0,0.0,82,214,36,41,9,10,127,265,0,0,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Sergei Pavlovich v Alexander Volkov,Sergei Pavlovich,Alexander Volkov,http://ufcstats.com/fighter-details/f14cf73e51b29254,loss,0,46,134,0.34,46,134,0,1,0.0,0,0,0.25,38,120,7,13,1,1,46,134,0,0,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Sergei Pavlovich v Alexander Volkov,Alexander Volkov,Sergei Pavlovich,http://ufcstats.com/fighter-details/279566840aa55bf2,win,0,83,159,0.52,83,160,0,0,,0,0,0.0,35,89,16,28,32,42,83,159,0,0,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Shara Magomedov v Antonio Trocoli,Shara Magomedov,Antonio Trocoli,http://ufcstats.com/fighter-details/06734ca9d88dec3a,win,1,82,108,0.75,108,136,0,0,,0,0,0.2833333333333333,28,52,22,24,32,32,69,94,13,14,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Shara Magomedov v Antonio Trocoli,Antonio Trocoli,Shara Magomedov,http://ufcstats.com/fighter-details/6d48a2df51749d91,loss,0,16,34,0.47,39,77,0,7,0.0,0,0,4.7,8,22,7,10,1,2,12,29,4,5,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Johnny Walker v Volkan Oezdemir,Johnny Walker,Volkan Oezdemir,http://ufcstats.com/fighter-details/c21f26bbde777573,loss,0,15,33,0.45,15,33,0,0,,0,0,0.0,6,20,3,6,6,7,15,33,0,0,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Johnny Walker v Volkan Oezdemir,Volkan Oezdemir,Johnny Walker,http://ufcstats.com/fighter-details/0845c81e37d3bcb3,win,2,37,67,0.55,37,67,0,0,,0,0,0.1,22,49,9,12,6,6,33,59,2,4,2,4
UFC Fight Night: Whittaker vs. Aliskerov: Rinat Fakhretdinov v Nicolas Dalby,Rinat Fakhretdinov,Nicolas Dalby,http://ufcstats.com/fighter-details/8f765fd5775a8873,win,0,68,134,0.5,99,173,5,11,0.45,0,0,6.283333333333333,53,113,10,13,5,8,49,109,19,25,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Rinat Fakhretdinov v Nicolas Dalby,Nicolas Dalby,Rinat Fakhretdinov,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8,loss,0,66,134,0.49,123,195,0,4,0.0,0,0,3.95,36,96,25,33,5,5,38,95,28,39,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Muhammad Naimov v Felipe Lima,Muhammad Naimov,Felipe Lima,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,loss,0,30,85,0.35,55,120,1,5,0.2,0,0,2.6,14,60,6,15,10,10,26,72,2,7,2,6
UFC Fight Night: Whittaker vs. Aliskerov: Muhammad Naimov v Felipe Lima,Felipe Lima,Muhammad Naimov,http://ufcstats.com/fighter-details/9256f591b30c073e,win,0,37,70,0.52,62,98,1,2,0.5,1,0,1.1,10,37,14,19,13,14,31,60,6,10,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Xiao Long v ChangHo Lee,Xiao Long,ChangHo Lee,http://ufcstats.com/fighter-details/86bace9e4ad85542,loss,0,68,103,0.66,135,187,2,5,0.4,0,0,6.316666666666666,27,49,33,46,8,8,26,44,42,59,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Xiao Long v ChangHo Lee,ChangHo Lee,Xiao Long,http://ufcstats.com/fighter-details/117a06469813e4ef,win,0,84,119,0.7,173,228,2,9,0.22,0,0,1.8,28,47,54,68,2,4,18,33,66,86,0,0
UFC Fight Night: Whittaker vs. Aliskerov: Kyung Ho Kang v Muin Gafurov,Kyung Ho Kang,Muin Gafurov,http://ufcstats.com/fighter-details/a7897d200692ab64,loss,0,12,35,0.34,119,152,3,11,0.27,0,0,4.933333333333334,8,28,2,4,2,3,11,33,0,1,1,1
UFC Fight Night: Whittaker vs. Aliskerov: Kyung Ho Kang v Muin Gafurov,Muin Gafurov,Kyung Ho Kang,http://ufcstats.com/fighter-details/a54660deb6a8489c,win,0,47,71,0.66,110,144,1,3,0.33,0,1,6.633333333333333,27,45,10,14,10,12,25,47,6,6,16,18
UFC 303: Pereira vs. Prochazka 2: Brian Ortega v Diego Lopes,Brian Ortega,Diego Lopes,http://ufcstats.com/fighter-details/def8166ff24bd237,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 303: Pereira vs. Prochazka 2: Brian Ortega v Diego Lopes,Diego Lopes,Brian Ortega,http://ufcstats.com/fighter-details/f166e93d04a8c274,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Perez vs. Taira: Josh Quinlan v Adam Fugitt,Josh Quinlan,Adam Fugitt,http://ufcstats.com/fighter-details/876f478f796495f7,loss,0.0,53.0,126.0,0.42,53.0,126.0,0.0,0.0,,0.0,0.0,0.0,25.0,93.0,11.0,14.0,17.0,19.0,53.0,126.0,0.0,0.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Josh Quinlan v Adam Fugitt,Adam Fugitt,Josh Quinlan,http://ufcstats.com/fighter-details/a01a62132460a98d,win,0.0,80.0,205.0,0.39,80.0,205.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,131.0,40.0,59.0,11.0,15.0,80.0,204.0,0.0,1.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Alex Perez v Tatsuro Taira,Alex Perez,Tatsuro Taira,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,loss,0.0,41.0,77.0,0.53,45.0,81.0,1.0,1.0,1.0,0.0,0.0,0.4,22.0,49.0,10.0,13.0,9.0,15.0,31.0,64.0,10.0,13.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Alex Perez v Tatsuro Taira,Tatsuro Taira,Alex Perez,http://ufcstats.com/fighter-details/4461d7e47375a895,win,0.0,31.0,66.0,0.46,43.0,78.0,2.0,2.0,1.0,0.0,0.0,0.8,25.0,57.0,2.0,4.0,4.0,5.0,28.0,59.0,3.0,7.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Timmy Cuamba v Lucas Almeida,Timmy Cuamba,Lucas Almeida,http://ufcstats.com/fighter-details/0e46690e55a8df75,loss,0.0,59.0,116.0,0.5,73.0,136.0,2.0,5.0,0.4,0.0,0.0,2.3,35.0,87.0,14.0,17.0,10.0,12.0,48.0,100.0,0.0,0.0,11.0,16.0
UFC Fight Night: Perez vs. Taira: Timmy Cuamba v Lucas Almeida,Lucas Almeida,Timmy Cuamba,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,win,1.0,70.0,196.0,0.35,91.0,220.0,0.0,0.0,,0.0,0.0,0.7833333333333333,43.0,153.0,13.0,28.0,14.0,15.0,65.0,190.0,2.0,3.0,3.0,3.0
UFC Fight Night: Perez vs. Taira: Douglas Silva de Andrade v Miles Johns,Douglas Silva de Andrade,Miles Johns,http://ufcstats.com/fighter-details/3a314d9fa7c6825d,loss,0.0,36.0,119.0,0.3,36.0,119.0,0.0,1.0,0.0,0.0,0.0,0.1166666666666666,21.0,80.0,6.0,21.0,9.0,18.0,36.0,118.0,0.0,1.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Douglas Silva de Andrade v Miles Johns,Miles Johns,Douglas Silva de Andrade,http://ufcstats.com/fighter-details/46e0d677f91bacc0,win,0.0,50.0,96.0,0.52,52.0,98.0,0.0,3.0,0.0,0.0,0.0,0.0833333333333333,37.0,82.0,6.0,7.0,7.0,7.0,50.0,96.0,0.0,0.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Melquizael Costa v Shayilan Nuerdanbieke,Melquizael Costa,Shayilan Nuerdanbieke,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,win,0.0,16.0,35.0,0.45,76.0,106.0,2.0,2.0,1.0,2.0,1.0,3.0,8.0,20.0,5.0,10.0,3.0,5.0,8.0,22.0,5.0,7.0,3.0,6.0
UFC Fight Night: Perez vs. Taira: Melquizael Costa v Shayilan Nuerdanbieke,Shayilan Nuerdanbieke,Melquizael Costa,http://ufcstats.com/fighter-details/0a73acff6325c1e2,loss,0.0,6.0,8.0,0.75,20.0,28.0,4.0,10.0,0.4,1.0,2.0,6.433333333333334,4.0,6.0,1.0,1.0,1.0,1.0,4.0,6.0,2.0,2.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Carli Judice v Gabriella Fernandes,Carli Judice,Gabriella Fernandes,http://ufcstats.com/fighter-details/f1ab6f37492c630a,loss,0.0,169.0,323.0,0.52,186.0,345.0,2.0,4.0,0.5,0.0,0.0,1.0666666666666669,110.0,251.0,42.0,55.0,17.0,17.0,149.0,297.0,20.0,26.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Carli Judice v Gabriella Fernandes,Gabriella Fernandes,Carli Judice,http://ufcstats.com/fighter-details/a6eb54ae17a551be,win,0.0,119.0,234.0,0.5,126.0,245.0,2.0,8.0,0.25,0.0,0.0,2.6666666666666665,89.0,198.0,21.0,25.0,9.0,11.0,95.0,200.0,24.0,34.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Brady Hiestand v Garrett Armfield,Brady Hiestand,Garrett Armfield,http://ufcstats.com/fighter-details/7af33fc4435017f1,win,0.0,22.0,50.0,0.44,42.0,76.0,6.0,13.0,0.46,3.0,0.0,5.6,14.0,39.0,7.0,10.0,1.0,1.0,18.0,44.0,4.0,6.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Brady Hiestand v Garrett Armfield,Garrett Armfield,Brady Hiestand,http://ufcstats.com/fighter-details/1effd880e1f1bb30,loss,1.0,49.0,83.0,0.59,59.0,94.0,0.0,0.0,,1.0,1.0,2.95,41.0,73.0,8.0,10.0,0.0,0.0,22.0,43.0,5.0,6.0,22.0,34.0
UFC Fight Night: Perez vs. Taira: Josefine Knutsson v Julia Polastri,Josefine Knutsson,Julia Polastri,http://ufcstats.com/fighter-details/971dba22c622af12,win,0.0,124.0,244.0,0.5,145.0,271.0,0.0,0.0,,0.0,1.0,0.7166666666666667,68.0,173.0,31.0,43.0,25.0,28.0,109.0,220.0,12.0,19.0,3.0,5.0
UFC Fight Night: Perez vs. Taira: Josefine Knutsson v Julia Polastri,Julia Polastri,Josefine Knutsson,http://ufcstats.com/fighter-details/abb68e3c7ca128f2,loss,0.0,64.0,122.0,0.52,86.0,152.0,3.0,3.0,1.0,1.0,0.0,4.566666666666666,38.0,83.0,19.0,29.0,7.0,10.0,43.0,91.0,3.0,6.0,18.0,25.0
UFC Fight Night: Perez vs. Taira: Jeka Saragih v Westin Wilson,Jeka Saragih,Westin Wilson,http://ufcstats.com/fighter-details/57186c150c645200,loss,0.0,4.0,8.0,0.5,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.8833333333333333,2.0,6.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,3.0
UFC Fight Night: Perez vs. Taira: Jeka Saragih v Westin Wilson,Westin Wilson,Jeka Saragih,http://ufcstats.com/fighter-details/7b3503352cd53abb,win,0.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,0.33,3.0,0.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Asu Almabayev v Jose Johnson,Asu Almabayev,Jose Johnson,http://ufcstats.com/fighter-details/8d3273573b85be09,win,0.0,20.0,29.0,0.68,77.0,109.0,6.0,11.0,0.54,4.0,1.0,11.4,12.0,19.0,3.0,3.0,5.0,7.0,4.0,10.0,5.0,5.0,11.0,14.0
UFC Fight Night: Perez vs. Taira: Asu Almabayev v Jose Johnson,Jose Johnson,Asu Almabayev,http://ufcstats.com/fighter-details/84f727cf0166d6f2,loss,0.0,5.0,21.0,0.23,58.0,79.0,1.0,1.0,1.0,1.0,0.0,1.05,3.0,16.0,1.0,4.0,1.0,1.0,4.0,18.0,1.0,2.0,0.0,1.0
UFC Fight Night: Perez vs. Taira: Jimmy Flick v Nate Maness,Jimmy Flick,Nate Maness,http://ufcstats.com/fighter-details/09e62c450e754913,loss,0.0,37.0,75.0,0.49,41.0,80.0,1.0,8.0,0.12,2.0,0.0,2.6833333333333336,8.0,26.0,21.0,35.0,8.0,14.0,28.0,64.0,9.0,11.0,0.0,0.0
UFC Fight Night: Perez vs. Taira: Jimmy Flick v Nate Maness,Nate Maness,Jimmy Flick,http://ufcstats.com/fighter-details/6e9f40c706f91f32,win,0.0,89.0,168.0,0.52,139.0,234.0,0.0,0.0,,2.0,0.0,4.383333333333334,63.0,135.0,17.0,23.0,9.0,10.0,64.0,131.0,19.0,26.0,6.0,11.0
UFC Fight Night: Cannonier vs. Imavov: Dominick Reyes v Dustin Jacoby,Dominick Reyes,Dustin Jacoby,http://ufcstats.com/fighter-details/2e19380f34871c6a,win,2.0,20.0,33.0,0.6,20.0,33.0,0.0,0.0,,0.0,0.0,0.05,15.0,26.0,3.0,4.0,2.0,3.0,16.0,24.0,2.0,3.0,2.0,6.0
UFC Fight Night: Cannonier vs. Imavov: Dominick Reyes v Dustin Jacoby,Dustin Jacoby,Dominick Reyes,http://ufcstats.com/fighter-details/e4277e87a789d687,loss,0.0,6.0,16.0,0.37,6.0,16.0,0.0,0.0,,0.0,0.0,0.0,1.0,7.0,0.0,1.0,5.0,8.0,6.0,16.0,0.0,0.0,0.0,0.0
UFC Fight Night: Cannonier vs. Imavov: Brad Katona v Jesse Butler,Brad Katona,Jesse Butler,http://ufcstats.com/fighter-details/7b433309b0fd12aa,win,0.0,68.0,113.0,0.6,148.0,217.0,3.0,3.0,1.0,0.0,0.0,10.833333333333334,59.0,101.0,3.0,6.0,6.0,6.0,27.0,56.0,1.0,1.0,40.0,56.0
