fight,fighter,opponent,fighter_url,result,kd,sig. str.,sig. str. att,sig. str. %,total str.,total str. att,td,td att,td %,sub. att,rev.,ctrl,head,head att,body,body att,leg,leg att,distance,distance att,clinch,clinch att,ground,ground att
UFC Fight Night: Henderson vs Masvidal: Yao Zhikui v Fredy Serrano,Fredy Serrano,Yao Zhikui,http://ufcstats.com/fighter-details/0ccab7c889ede9ea,win,0.0,3.0,5.0,0.6,7.0,11.0,1.0,2.0,0.5,0.0,0.0,0.0666666666666666,1.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0
UFC Fight Night: Henderson vs Masvidal: Benson Henderson v Jorge Masvidal,Benson Henderson,Jorge Masvidal,http://ufcstats.com/fighter-details/2676b28836a5a836,win,0.0,86.0,146.0,0.58,138.0,201.0,3.0,12.0,0.25,0.0,0.0,6.866666666666667,42.0,87.0,24.0,34.0,20.0,25.0,61.0,116.0,23.0,28.0,2.0,2.0
UFC Fight Night: Henderson vs Masvidal: Benson Henderson v Jorge Masvidal,Jorge Masvidal,Benson Henderson,http://ufcstats.com/fighter-details/47b9e0e7703a4868,loss,0.0,77.0,156.0,0.49,217.0,309.0,1.0,5.0,0.2,1.0,0.0,3.8166666666666655,38.0,112.0,35.0,39.0,4.0,5.0,51.0,120.0,24.0,34.0,2.0,2.0
UFC Fight Night: Magny vs Gastelum: Erick Montano v Enrique Marin,Erick Montano,Enrique Marin,http://ufcstats.com/fighter-details/8163cd7de0342652,win,0.0,49.0,116.0,0.42,59.0,126.0,2.0,3.0,0.66,0.0,1.0,2.7,28.0,71.0,6.0,12.0,15.0,33.0,46.0,110.0,2.0,5.0,1.0,1.0
UFC Fight Night: Magny vs Gastelum: Erick Montano v Enrique Marin,Enrique Marin,Erick Montano,http://ufcstats.com/fighter-details/23a6e307077c6ccc,loss,0.0,27.0,94.0,0.28,33.0,102.0,1.0,3.0,0.33,0.0,2.0,3.466666666666667,16.0,80.0,3.0,4.0,8.0,10.0,24.0,89.0,3.0,4.0,0.0,1.0
UFC Fight Night: Magny vs Gastelum: Cesar Arzamendia v Marco Polo Reyes,Cesar Arzamendia,Marco Polo Reyes,http://ufcstats.com/fighter-details/49f78022126bf4a4,loss,0.0,16.0,46.0,0.34,23.0,54.0,3.0,4.0,0.75,0.0,0.0,1.2,7.0,33.0,7.0,11.0,2.0,2.0,10.0,35.0,6.0,9.0,0.0,2.0
UFC Fight Night: Magny vs Gastelum: Cesar Arzamendia v Marco Polo Reyes,Marco Polo Reyes,Cesar Arzamendia,http://ufcstats.com/fighter-details/edd02825c29028fe,win,1.0,10.0,31.0,0.32,15.0,36.0,0.0,0.0,,0.0,0.0,0.0333333333333333,9.0,27.0,1.0,3.0,0.0,1.0,6.0,26.0,2.0,3.0,2.0,2.0
UFC Fight Night: Magny vs Gastelum: Vernon Ramos Ho v Alvaro Herrera Mendoza,Vernon Ramos Ho,Alvaro Herrera Mendoza,http://ufcstats.com/fighter-details/30b577b112bef42d,loss,0.0,2.0,8.0,0.25,2.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0
UFC Fight Night: Magny vs Gastelum: Vernon Ramos Ho v Alvaro Herrera Mendoza,Alvaro Herrera Mendoza,Vernon Ramos Ho,http://ufcstats.com/fighter-details/74d35fbc9c6a61bd,win,1.0,4.0,9.0,0.44,4.0,9.0,0.0,0.0,,0.0,0.0,0.0166666666666666,4.0,9.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,1.0
UFC Fight Night: Magny vs Gastelum: Alejandro Perez v Scott Jorgensen,Alejandro Perez,Scott Jorgensen,http://ufcstats.com/fighter-details/80daefbed11ce998,win,0.0,39.0,91.0,0.42,42.0,94.0,0.0,0.0,,0.0,0.0,0.25,19.0,59.0,6.0,9.0,14.0,23.0,31.0,78.0,2.0,4.0,6.0,9.0
